#Epaisseurs des detecteurs Si pour l experience e613
#Nouveaux detecteurs Couronne 2, 3 4 et 5
#
#Epaisseurs des detecteurs de la couronne 4-5
#
#Références des plaquettes mise en place 05/2009
#0401: 2649-6
#0403: 2650-4 
#0405: 2649-4
#0407: 2649-7 remplace en 11/2010, avoir pour l epaisseur reelle
#0409: 2649-3
#0411: 2650-9
#0413: 2650-5
#0415: 2650-7
#0417: 2650-6
#0419: 2649-1
#0421: 2649-5
#0423: 2650-8
#
#  May 2012
# Epaisseurs reelles des Si (EURISYS) pour couronnes 6-7 sauf Modules 19-24 (150 par defaut)
#
#  2010-2011
# Si de la couronne 2 et 3 (150 um)
#
#  August 2012
# Epaisseurs reelles des Si de 1994 des couronnes 8-9 sauf Modules 7-8 (300 par defaut)
# Epaisseurs theoriques (toutes a 303 um) des SI de la couronne 1 (d apres doc apres GSI)
*.Units:  um
SI_0101: 	303
SI_0102: 	303
SI_0103: 	303
SI_0104: 	303
SI_0105: 	303
SI_0106: 	303
SI_0107: 	303
SI_0108: 	303
SI_0109: 	303
SI_0110: 	303
SI_0111: 	303
SI_0112: 	303
SI_0201: 	318
SI_0301: 	318
SI_0302: 	318
SI_0203: 	317
SI_0303: 	317
SI_0304: 	317
SI_0205: 	318
SI_0305: 	318
SI_0306: 	318
SI_0207: 	317
SI_0307: 	317
SI_0308: 	317
SI_0209: 	317
SI_0309: 	317
SI_0310: 	317
SI_0211: 	317
SI_0311: 	317
SI_0312: 	317
SI_0213: 	319
SI_0313: 	319
SI_0314: 	319
SI_0215: 	319
SI_0315: 	319
SI_0316: 	319
SI_0217: 	318
SI_0317: 	318
SI_0318: 	318
SI_0219: 	318
SI_0319: 	318
SI_0320: 	318
SI_0221: 	318
SI_0321: 	318
SI_0322: 	318
SI_0223: 	318
SI_0323: 	318
SI_0324: 	318
SI_0401:		158
SI_0402:		158
SI_0501:		158
SI_0502:		158
SI_0403:		149
SI_0404:		149
SI_0503:		149
SI_0504:		149
SI_0405:		136
SI_0406:		136
SI_0505:		136
SI_0506:		136
SI_0407:		150
SI_0408:		150
SI_0507:		150
SI_0508:		150
SI_0409:		135
SI_0410:		135
SI_0509:		135
SI_0510:		135
SI_0411:		140
SI_0412:		140
SI_0511:		140
SI_0512:		140
SI_0413:		151
SI_0414:		151
SI_0513:		151
SI_0514:		151
SI_0415:		148
SI_0416:		148
SI_0515:		148
SI_0516:		148
SI_0417:		146
SI_0418:		146
SI_0517:		146
SI_0518:		146
SI_0419:		147
SI_0420:		147
SI_0519:		147
SI_0520:		147
SI_0421:		140
SI_0422:		140
SI_0521:		140
SI_0522:		140
SI_0423:		144
SI_0424:		144
SI_0523:		144
SI_0524:		144
SI_0601:		152
SI_0602:		152
SI_0701:		152
SI_0702:		152
SI_0603:		153
SI_0604:		153
SI_0703:		153
SI_0704:		153
SI_0605:		145
SI_0606:		145
SI_0705:		145
SI_0706:		145
SI_0607:		145
SI_0608:		145
SI_0707:		145
SI_0708:		145
SI_0609:		152
SI_0610:		152
SI_0709:		152
SI_0710:		152
SI_0611:		152
SI_0612:		152
SI_0711:		152
SI_0712:		152
SI_0613:		144
SI_0614:		144
SI_0713:		144
SI_0714:		144
SI_0615:		144
SI_0616:		144
SI_0715:		144
SI_0716:		144
SI_0617:		148
SI_0618:		148
SI_0717:		148
SI_0718:		148
SI_0619:		150
SI_0620:		150
SI_0719:		150
SI_0720:		150
SI_0621:		150
SI_0622:		150
SI_0721:		150
SI_0722:		150
SI_0623:		150
SI_0624:		150
SI_0723:		150
SI_0724:		150
SI_0801:		305
SI_0802:		305
SI_0901:		305
SI_0902:		305
SI_0803:		301
SI_0804:		301
SI_0903:		301
SI_0904:		301
SI_0805:		303
SI_0806:		303
SI_0905:		303
SI_0906:		303
SI_0807:		300
SI_0808:		300
SI_0907:		300
SI_0908:		300
SI_0809:		303
SI_0810:		303
SI_0909:		303
SI_0910:		303
SI_0811:		298
SI_0812:		298
SI_0911:		298
SI_0912:		298
SI_0813:		305
SI_0814:		305
SI_0913:		305
SI_0914:		305
SI_0815:		303
SI_0816:		303
SI_0915:		303
SI_0916:		303
SI_0817:		302
SI_0818:		302
SI_0917:		302
SI_0918:		302
SI_0819:		303
SI_0820:		303
SI_0919:		303
SI_0920:		303
SI_0821:		299
SI_0822:		299
SI_0921:		299
SI_0922:		299
SI_0823:		306
SI_0824:		306
SI_0923:		306
SI_0924:		306
